TF	TFSymbol	TFGroup	Target	TargetSymbol	TargetGroup	Correlation
ENSG00000066422	ZBTB11	1	ENSG00000028839	TBPL1	1	0.623669198581197
ENSG00000066422	ZBTB11	1	ENSG00000074695	LMAN1	1	0.606222100626321
ENSG00000066422	ZBTB11	1	ENSG00000075415	SLC25A3	1	0.60244245454032
ENSG00000066422	ZBTB11	1	ENSG00000168298	HIST1H1E	1	0.63070977755529
ENSG00000066422	ZBTB11	1	ENSG00000184924	PTRHD1	1	0.606196483722143
ENSG00000066422	ZBTB11	1	ENSG00000198763	MT-ND2	1	0.624432076790581
ENSG00000066422	ZBTB11	1	ENSG00000198804	MT-CO1	1	0.629827538063179
ENSG00000066422	ZBTB11	1	ENSG00000198888	MT-ND1	1	0.625819508819963
ENSG00000066422	ZBTB11	1	ENSG00000244567	AC096772.6	1	0.609917391105724
ENSG00000066422	ZBTB11	1	ENSG00000270986	RP11-123C21.2	1	0.60866135139917
ENSG00000096654	ZNF184	2	ENSG00000066422	ZBTB11	1	0.690238992652277
ENSG00000066422	ZBTB11	1	ENSG00000096654	ZNF184	2	0.690238992652277
ENSG00000066422	ZBTB11	1	ENSG00000171148	TADA3	2	0.600001082118985
ENSG00000066422	ZBTB11	1	ENSG00000108953	YWHAE	3	-0.609077073214632
ENSG00000066422	ZBTB11	1	ENSG00000127922	SHFM1	3	-0.648121547530825
ENSG00000066422	ZBTB11	1	ENSG00000164919	COX6C	3	-0.603280778055383
ENSG00000168036	CTNNB1	3	ENSG00000066422	ZBTB11	1	-0.602593094717511
ENSG00000066422	ZBTB11	1	ENSG00000168036	CTNNB1	3	-0.602593094717511
ENSG00000066422	ZBTB11	1	ENSG00000185787	MORF4L1	3	-0.642284393417329
ENSG00000066422	ZBTB11	1	ENSG00000231850	GAGE2B	3	-0.623367976812882
ENSG00000070061	IKBKAP	1	ENSG00000070669	ASNS	1	0.705281720694842
ENSG00000071564	TCF3	1	ENSG00000070061	IKBKAP	1	0.613850560869801
ENSG00000070061	IKBKAP	1	ENSG00000071564	TCF3	1	0.613850560869801
ENSG00000070061	IKBKAP	1	ENSG00000101189	MRGBP	1	0.762261793105566
ENSG00000070061	IKBKAP	1	ENSG00000117289	TXNIP	1	0.612280036652855
ENSG00000070061	IKBKAP	1	ENSG00000119777	TMEM214	1	0.70984413936739
ENSG00000070061	IKBKAP	1	ENSG00000155495	MAGEC1	1	0.646825987623476
ENSG00000070061	IKBKAP	1	ENSG00000158941	CCAR2	1	0.746033415606814
ENSG00000070061	IKBKAP	1	ENSG00000164096	C4orf3	1	0.641242333518428
ENSG00000070061	IKBKAP	1	ENSG00000164284	GRPEL2	1	0.74451624352617
ENSG00000070061	IKBKAP	1	ENSG00000164366	CCDC127	1	0.63925085071689
ENSG00000070061	IKBKAP	1	ENSG00000169446	MMGT1	1	0.638568967916414
ENSG00000070061	IKBKAP	1	ENSG00000179409	GEMIN4	1	0.641210533945428
ENSG00000070061	IKBKAP	1	ENSG00000180543	TSPYL5	1	0.668999491404383
ENSG00000070061	IKBKAP	1	ENSG00000189134	NKAPL	1	0.696617194861813
ENSG00000070061	IKBKAP	1	ENSG00000189292	FAM150B	1	0.657666409804891
ENSG00000070061	IKBKAP	1	ENSG00000196368	NUDT11	1	0.634192976566867
ENSG00000070061	IKBKAP	1	ENSG00000196757	ZNF700	1	0.605335953637509
ENSG00000070061	IKBKAP	1	ENSG00000198315	ZKSCAN8	1	0.638192072517606
ENSG00000070061	IKBKAP	1	ENSG00000198763	MT-ND2	1	0.685591207198766
ENSG00000070061	IKBKAP	1	ENSG00000198804	MT-CO1	1	0.666639198686012
ENSG00000070061	IKBKAP	1	ENSG00000198888	MT-ND1	1	0.668115662667647
ENSG00000070061	IKBKAP	1	ENSG00000204560	DHX16	1	0.611042230642568
ENSG00000070061	IKBKAP	1	ENSG00000226360	RPL10AP6	1	0.695518978607757
ENSG00000070061	IKBKAP	1	ENSG00000230673	PABPC1P3	1	0.60945697044422
ENSG00000070061	IKBKAP	1	ENSG00000250568	RP11-333E13.2	1	0.629433918540697
